0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
0.997998,1,1,1
0.995996,1,1,1
0.991992,1,1,1
0.98999,1,1,1
0.993994,1,1,1
0.995996,1,1,1
0.994995,1,0.998999,1
0.990991,1,0.998999,1
0.991992,1,1,1
0.992993,1,1,1
0.98999,1,1,1
0.992993,1,1,1
0.991992,1,1,1
0.988989,1,1,1
0.987988,1,1,1
0.984985,1,1,1
0.980981,1,1,1
0.977978,1,1,1
0.976977,1,1,1
0.974975,1,1,1
0.974975,1,1,1
0.973974,1,1,1
0.966967,1,1,1
0.975976,1,1,1
0.974975,1,1,1
0.970971,1,1,1
0.961962,1,1,1
0.970971,1,1,1
0.967968,1,1,1
0.962963,1,1,1
0.963964,1,1,1
0.964965,1,1,1
0.968969,1,1,1
0.956957,1,1,1
0.960961,1,1,1
0.963964,1,1,1
0.967968,1,1,1
0.960961,1,1,1
